model,language_pair,score
gpt,en-de,0.46849293545872245
gpt,en-he,0.42090704664590656
gpt,en-hi,0.336035764616844
gpt,en-hu,0.36956041807526874
gpt,en-ko,0.16839996018956016
gpt,en-es,0.5643552119343038
gpt,en-yo,0.09504945313241116
gpt,en-zh,0.12243371648148497
palm,en-de,0.3401455579248425
palm,en-he,0.28036266042544017
palm,en-hi,0.3666763409587683
palm,en-hu,0.20434182367859566
palm,en-ko,0.1376920879397292
palm,en-es,0.39052393459400336
palm,en-yo,0.20093428202204092
palm,en-zh,0.10796651419121062
google,en-de,0.5041139299673628
google,en-he,0.6074189637012913
google,en-hi,0.49457040092663196
google,en-hu,0.5766366922922629
google,en-ko,0.29177556876869737
google,en-es,0.6301686583893296
google,en-yo,0.4021803466038784
google,en-zh,0.19284279698918166
opus,en-de,0.6499718846337816
opus,en-he,0.6233595050277109
opus,en-hi,0.4426298805298465
opus,en-hu,0.549995544855479
opus,en-ko,0.0
opus,en-es,0.695754090456283
opus,en-yo,0.2894876583680846
opus,en-zh,0.1987293183704317
nllb,en-de,0.4633265476436414
nllb,en-he,0.5281897697978923
nllb,en-hi,0.494961950098858
nllb,en-hu,0.4209868500422013
nllb,en-ko,0.1779815599251688
nllb,en-es,0.6009819291535262
nllb,en-yo,0.2185848831635294
nllb,en-zh,0.13109855774650703
